variable_name,purpose,type,size_bytes,description,heap_influence,heap_notes
autoStateDueAt,SYSTEM,unsigned long,4,Deferred auto-state due millis,none,No direct heap allocation
haDiscoveryDueAt,MQTT/HA,unsigned long,4,Deferred discovery due millis,none,No direct heap allocation
configSaveDueAt,SYSTEM,unsigned long,4,Deferred config save due millis,none,No direct heap allocation
nextTimeSyncAt,TIME,unsigned long,4,Next NTP sync due millis,none,No direct heap allocation
timeSyncHadValidTime,TIME,bool,1,Time validity transition flag,none,No direct heap allocation
minFreeHeap,SYSTEM,uint32_t,4,Minimum observed free heap,none,No direct heap allocation
mqttReconnectCount,MQTT,uint32_t,4,MQTT reconnect counter,none,No direct heap allocation
haDiscoveryRepublishPending,MQTT/HA,bool,1,Discovery republish pending flag,none,No direct heap allocation
autoStatePublishPending,MQTT,bool,1,Auto-state publish pending flag,none,No direct heap allocation
haDiscoveryPublishPending,MQTT/HA,bool,1,Discovery publish pending flag,none,No direct heap allocation
configSavePending,SYSTEM,bool,1,Config save pending flag,none,No direct heap allocation
haDiscoveryStep,MQTT/HA,uint8_t,1,Staged discovery step index,none,No direct heap allocation
bottleStatePublishMask,MQTT,uint8_t,1,Pending bottle publish bitmask,none,No direct heap allocation
pumpDoseMlPublishMask,MQTT,uint8_t,1,Pending dose publish bitmask,none,No direct heap allocation
schedullerStatePublishMask,MQTT,uint8_t,1,Pending scheduler publish bitmask,none,No direct heap allocation
mqttInterval,MQTT,const unsigned long (folded),0,MQTT reconnect retry interval,none,No direct heap allocation
MQTT_DANGEROUS_CMD_GUARD_MS,SYSTEM,const unsigned long (folded),0,Dangerous command boot guard,none,No direct heap allocation
autoPublishInterval,MQTT,const unsigned long (folded),0,Periodic auto state interval,none,No direct heap allocation
TIME_SYNC_INTERVAL_MS,TIME,const unsigned long (folded),0,Periodic time sync interval,none,No direct heap allocation
TIME_SYNC_RETRY_MS,TIME,const unsigned long (folded),0,Time sync retry interval,none,No direct heap allocation
TIME_VALID_AFTER_EPOCH,TIME,const time_t (folded),0,Minimum valid system epoch,none,No direct heap allocation
PUMP_RUN_LOG_MAX_BYTES,WEB UI,const size_t (folded),0,CSV max bytes before rotation,none,No direct heap allocation
PUMP1_PIN,PUMP,const uint8_t (folded),0,Pump 1 GPIO pin,none,No direct heap allocation
PUMP2_PIN,PUMP,const uint8_t (folded),0,Pump 2 GPIO pin,none,No direct heap allocation
FACTORY_RESET_PIN,SYSTEM,const uint8_t (folded),0,Factory reset GPIO pin,none,No direct heap allocation
PUMP_ACTIVE_HIGH,PUMP,const bool (folded),0,Pump output active level,none,No direct heap allocation
PUMP_HARD_MAX_MS,PUMP,const unsigned long (folded),0,Pump safety maximum runtime,none,No direct heap allocation
CAL_RUN_DURATION_MS,CALIBRATION,const unsigned long (folded),0,Calibration fixed run duration,none,No direct heap allocation
FACTORY_RESET_HOLD_MS,SYSTEM,const unsigned long (folded),0,Factory jumper hold duration,none,No direct heap allocation
CAL_MIN_FLOW_ML_PER_SEC,CALIBRATION,const float (folded),0,Calibration minimum accepted flow,none,No direct heap allocation
CAL_MAX_FLOW_ML_PER_SEC,CALIBRATION,const float (folded),0,Calibration maximum accepted flow,none,No direct heap allocation
SCHEDULLER_PUMP_SWITCH_GAP_MS,SCHEDULLER,const unsigned long (folded),0,Pump1 to Pump2 gap,none,No direct heap allocation
telemetryInterval,SYSTEM/MQTT,const unsigned long (folded),0,Health and heartbeat interval,none,No direct heap allocation
autoStateMinIntervalMs,MQTT,const unsigned long (folded),0,Auto state minimum spacing,none,No direct heap allocation
